,config,name,f1_score
0,baseline,celestial-sweep-1,0.978131747307589
1,baseline,pleasant-sweep-2,0.9674986643035828
2,baseline,soft-sweep-3,0.980712286595176
3,baseline,celestial-sweep-4,0.968429297920833
4,baseline,happy-sweep-5,0.9702511995105524
5,best7,easy-sweep-1,0.9741805762966492
6,best7,swift-sweep-2,0.9676694305570032
7,best7,leafy-sweep-3,0.9738784473605588
8,best7,valiant-sweep-4,0.9757458342620068
9,best7,skilled-sweep-5,0.9639207474139913
10,best6,kind-sweep-1,0.9769625888954502
11,best6,warm-sweep-2,0.9754201681923392
12,best6,clean-sweep-3,0.9609619505040272
13,best6,proud-sweep-4,0.9749107856302544
14,best6,worldly-sweep-5,0.9704061079909791
15,best5,quiet-sweep-1,0.9617864805159132
16,best5,charmed-sweep-2,0.9617397586632134
17,best5,magic-sweep-3,0.9549114985017322
18,best5,vague-sweep-4,0.9546862345237264
19,best5,radiant-sweep-5,0.9582819668605982
20,best4,happy-sweep-1,0.9516523263462314
21,best4,avid-sweep-2,0.9273040250870944
22,best4,youthful-sweep-3,0.95661461011473
23,best4,ethereal-sweep-4,0.966699745374564
24,best4,clear-sweep-5,0.959319245727876
25,best3,rural-sweep-1,0.95694836119442
26,best3,swift-sweep-2,0.9713631018213998
27,best3,genial-sweep-3,0.9580199006880264
28,best3,different-sweep-4,0.9652822731252768
29,best3,dutiful-sweep-5,0.962019721545503
30,best2,fine-sweep-1,0.9565588486449674
31,best2,fancy-sweep-2,0.9651637099634186
32,best2,fresh-sweep-3,0.9781999863928684
33,best2,legendary-sweep-4,0.9767263956147691
34,best2,ancient-sweep-5,0.968501358394232
35,best1,deep-sweep-1,0.968582613561233
36,best1,sandy-sweep-2,0.9672442593911804
37,best1,winter-sweep-3,0.9810454859497416
38,best1,ethereal-sweep-4,0.9702321053286578
39,best1,devoted-sweep-5,0.9652246904941244
