,name,loss_function,weighting_strategy,f1_score
0,dulcet-sweep-1,focal,none,0.9689380311422038
1,magic-sweep-2,focal,inverse,0.14128866185051944
2,helpful-sweep-3,focal,effective,0.9703541313476042
3,still-sweep-4,focal,none,0.9652255891112153
4,graceful-sweep-5,focal,inverse,0.4812857214988746
5,lemon-sweep-6,focal,effective,0.974770593771518
6,polar-sweep-7,focal,none,0.9633005851608676
7,crimson-sweep-8,focal,inverse,0.2738478360189455
8,breezy-sweep-9,focal,effective,0.9633588585150098
9,fast-sweep-10,focal,none,0.9680258217024484
10,absurd-sweep-11,focal,inverse,0.1932906963153399
11,vivid-sweep-12,focal,effective,0.958613162146968
12,crimson-sweep-13,focal,none,0.9786282528664716
13,generous-sweep-14,focal,inverse,0.0540848404378512
14,kind-sweep-15,focal,effective,0.9702568086077806
15,celestial-sweep-1,cross_entropy,none,0.978131747307589
16,pleasant-sweep-2,cross_entropy,none,0.9674986643035828
17,soft-sweep-3,cross_entropy,none,0.980712286595176
18,celestial-sweep-4,cross_entropy,none,0.968429297920833
19,happy-sweep-5,cross_entropy,none,0.9702511995105524
20,comic-sweep-1,cross_entropy,effective,0.9666926896870496
21,devoted-sweep-2,cross_entropy,effective,0.9787870914927964
22,pleasant-sweep-3,cross_entropy,effective,0.9730422467624052
23,northern-sweep-4,cross_entropy,effective,0.978731615662351
24,lilac-sweep-5,cross_entropy,effective,0.9722810816600173
25,glorious-sweep-6,cross_entropy,effective,0.9756195998953489
26,chocolate-sweep-7,cross_entropy,effective,0.9758313641297444
27,lively-sweep-8,cross_entropy,effective,0.9747314491583224
28,noble-sweep-9,cross_entropy,effective,0.975669701258202
29,stoic-sweep-10,cross_entropy,effective,0.97201903023377
30,playful-sweep-1,cross_entropy,inverse,0.9737950125359466
31,rural-sweep-2,cross_entropy,inverse,0.9739895538895216
32,toasty-sweep-3,cross_entropy,inverse,0.9633056796061652
33,resilient-sweep-4,cross_entropy,inverse,0.95487036732576
34,denim-sweep-5,cross_entropy,inverse,0.9781716334227304
35,lucky-sweep-6,cross_entropy,inverse,0.972282197735836
36,woven-sweep-7,cross_entropy,inverse,0.978338803998426
37,icy-sweep-8,cross_entropy,inverse,0.9725952743493462
38,desert-sweep-9,cross_entropy,inverse,0.9758930995984052
39,apricot-sweep-10,cross_entropy,inverse,0.9667341961535092
40,rare-sweep-1,cross_entropy,none,0.9729100477067408
41,earthy-sweep-2,cross_entropy,none,0.971245359202172
42,happy-sweep-3,cross_entropy,none,0.9802917434676666
43,soft-sweep-4,cross_entropy,none,0.9790652847480416
44,fluent-sweep-5,cross_entropy,none,0.9746823082138342
